,wass_loss_G,wass_loss_D
176,-0.6065025329589844,-0.04333871603012085
177,-0.614060640335083,-0.043786466121673584
178,-0.6146918535232544,-0.044918954372406006
179,-0.6025134325027466,-0.045571327209472656
180,-0.606137752532959,-0.04740375280380249
181,-0.6035134792327881,-0.04563373327255249
182,-0.6091590523719788,-0.04698312282562256
183,-0.5949530601501465,-0.048100829124450684
184,-0.599543571472168,-0.051595091819763184
185,-0.5774467587471008,-0.04808729887008667
186,-0.5869466066360474,-0.05422717332839966
187,-0.5807317495346069,-0.04935711622238159
188,-0.5758157968521118,-0.05053991079330444
189,-0.5777435898780823,-0.05175817012786865
190,-0.5704312324523926,-0.056975722312927246
191,-0.5714333057403564,-0.053916096687316895
192,-0.5625329613685608,-0.057190120220184326
193,-0.5574191808700562,-0.05750519037246704
194,-0.5569691061973572,-0.05887722969055176
195,-0.5418109893798828,-0.05966585874557495
196,-0.5470700263977051,-0.06395149230957031
197,-0.5479264259338379,-0.06135934591293335
198,-0.5387601852416992,-0.06641930341720581
199,-0.5377287864685059,-0.06667804718017578
200,-0.5197785496711731,-0.07070106267929077
201,-0.5184728503227234,-0.07833129167556763
202,-0.5201683044433594,-0.07065528631210327
203,-0.5172999501228333,-0.08127522468566895
204,-0.520783007144928,-0.08193725347518921
205,-0.507313072681427,-0.08503025770187378
206,-0.517905592918396,-0.08617329597473145
207,-0.5090845823287964,-0.08448851108551025
208,-0.5144591927528381,-0.08044666051864624
209,-0.5099090337753296,-0.08888596296310425
210,-0.5097574591636658,-0.09060478210449219
211,-0.5042901039123535,-0.0863652229309082
212,-0.5091997385025024,-0.08936351537704468
213,-0.5101596117019653,-0.08721017837524414
214,-0.5137168169021606,-0.08824944496154785
215,-0.4933736026287079,-0.093639075756073
216,-0.5029164552688599,-0.09227770566940308
217,-0.49728602170944214,-0.09268099069595337
218,-0.501492977142334,-0.09275937080383301
219,-0.4957650899887085,-0.09861201047897339
220,-0.5130652785301208,-0.09054291248321533
221,-0.4953674077987671,-0.09666407108306885
222,-0.4909842610359192,-0.09851863980293274
223,-0.49288636445999146,-0.0998651385307312
224,-0.48580819368362427,-0.10126212239265442
225,-0.49385204911231995,-0.09872463345527649
226,-0.49241799116134644,-0.1038026511669159
227,-0.4888470470905304,-0.09822463989257812
228,-0.507247269153595,-0.09589135646820068
229,-0.503027081489563,-0.08688467741012573
230,-0.49123626947402954,-0.09821635484695435
231,-0.48240530490875244,-0.09660136699676514
232,-0.4899826645851135,-0.09901648759841919
233,-0.4893965423107147,-0.09950810670852661
234,-0.48902133107185364,-0.09528955817222595
235,-0.47917094826698303,-0.1024104654788971
236,-0.48844683170318604,-0.09877091646194458
237,-0.4898502230644226,-0.10604342818260193
238,-0.48156917095184326,-0.0972655713558197
239,-0.48124468326568604,-0.10119232535362244
240,-0.47593313455581665,-0.10735392570495605
241,-0.4667443037033081,-0.11267244815826416
242,-0.4749385714530945,-0.10633784532546997
243,-0.47006022930145264,-0.10786733031272888
244,-0.4849167764186859,-0.10221049189567566
245,-0.47891220450401306,-0.10307806730270386
246,-0.4686901867389679,-0.1168346107006073
247,-0.4675353467464447,-0.11462900042533875
248,-0.4643558859825134,-0.11492288112640381
249,-0.4683772325515747,-0.11108922958374023
250,-0.4583006203174591,-0.11616793274879456
251,-0.46870386600494385,-0.11030754446983337
252,-0.47852465510368347,-0.10774224996566772
253,-0.46956977248191833,-0.11473661661148071
254,-0.46295586228370667,-0.11980035901069641
255,-0.4770675599575043,-0.10317549109458923
256,-0.47822779417037964,-0.1084919273853302
257,-0.48513567447662354,-0.11682197451591492
258,-0.46788886189460754,-0.11348292231559753
259,-0.46100157499313354,-0.128631591796875
260,-0.46954071521759033,-0.11967635154724121
261,-0.4589066803455353,-0.10759863257408142
262,-0.4705984592437744,-0.11291930079460144
263,-0.4649558961391449,-0.11085551977157593
264,-0.45706480741500854,-0.12974980473518372
265,-0.4647334814071655,-0.12217092514038086
266,-0.46021637320518494,-0.12100249528884888
267,-0.4783267378807068,-0.11488184332847595
268,-0.4792386293411255,-0.10396832227706909
269,-0.4634290635585785,-0.1193632185459137
270,-0.467881977558136,-0.11580899357795715
271,-0.4661533832550049,-0.10877051949501038
272,-0.46222615242004395,-0.12648910284042358
273,-0.4611216187477112,-0.11037632822990417
274,-0.4648212492465973,-0.12022867798805237
275,-0.4613454043865204,-0.12140882015228271
276,-0.4710054099559784,-0.10770586133003235
277,-0.4551234245300293,-0.11713933944702148
278,-0.4774118661880493,-0.10768291354179382
279,-0.48562923073768616,-0.10947689414024353
280,-0.47681111097335815,-0.11643785238265991
281,-0.4657573699951172,-0.11855992674827576
282,-0.4759514033794403,-0.11577627062797546
283,-0.46752437949180603,-0.10839563608169556
284,-0.46777433156967163,-0.11310306191444397
285,-0.47243863344192505,-0.10409700870513916
286,-0.467136949300766,-0.12349069118499756
287,-0.4880613088607788,-0.10755571722984314
288,-0.4646338224411011,-0.12612390518188477
289,-0.46456339955329895,-0.12555837631225586
290,-0.4713166356086731,-0.11197337508201599
291,-0.46508413553237915,-0.11475640535354614
292,-0.47416386008262634,-0.11434003710746765
293,-0.4772406816482544,-0.11113891005516052
294,-0.4826119542121887,-0.11872178316116333
295,-0.46544742584228516,-0.12868306040763855
